State,Zip,County,Green,Yellow,Red
SC,29682,Pickens County,,,Red
SC,29685,Pickens County,Green,,
SC,29016,Richland County,,,Red
SC,29036,Richland County,,,Red
SC,29044,Richland County,,,Red
SC,29045,Richland County,,,Red
SC,29052,Richland County,,,Red
SC,29061,Richland County,,,Red
SC,29063,Richland County,,,Red
SC,29201,Richland County,,,Red
SC,29203,Richland County,,,Red
SC,29204,Richland County,,,Red
SC,29205,Richland County,,,Red
SC,29206,Richland County,,,Red
SC,29209,Richland County,,,Red
SC,29210,Richland County,,,Red
SC,29212,Richland County,,,Red
SC,29223,Richland County,,,Red
SC,29229,Richland County,,,Red
SC,29006,Saluda County,,,Red
SC,29037,Saluda County,,,Red
SC,29070,Saluda County,,,Red
SC,29105,Saluda County,,,Red
SC,29127,Saluda County,,,Red
SC,29129,Saluda County,,,Red
SC,29138,Saluda County,,Yellow,
SC,29166,Saluda County,,,Red
SC,29666,Saluda County,,,Red
SC,29824,Saluda County,,,Red
SC,29832,Saluda County,,,Red
SC,29848,Saluda County,,,Red
SC,29301,Spartanburg County,Green,,
SC,29302,Spartanburg County,,Yellow,
SC,29303,Spartanburg County,,Yellow,
SC,29304,Spartanburg County,,,Red
SC,29306,Spartanburg County,Green,,
SC,29307,Spartanburg County,Green,,
SC,29316,Spartanburg County,Green,,
SC,29320,Spartanburg County,,,Red
SC,29322,Spartanburg County,,,Red
SC,29323,Spartanburg County,,,Red
SC,29324,Spartanburg County,,,Red
SC,29329,Spartanburg County,,,Red
SC,29330,Spartanburg County,,,Red
SC,29331,Spartanburg County,,,Red
SC,29333,Spartanburg County,,,Red
SC,29334,Spartanburg County,,Yellow,
SC,29335,Spartanburg County,,Yellow,
SC,29338,Spartanburg County,,,Red
SC,29346,Spartanburg County,,,Red
SC,29349,Spartanburg County,,Yellow,
SC,29356,Spartanburg County,Green,,
SC,29365,Spartanburg County,Green,,
SC,29368,Spartanburg County,,,Red
SC,29369,Spartanburg County,,,Red
SC,29372,Spartanburg County,,,Red
SC,29374,Spartanburg County,,,Red
SC,29375,Spartanburg County,,,Red
SC,29376,Spartanburg County,,,Red
SC,29377,Spartanburg County,,,Red
SC,29378,Spartanburg County,,,Red
SC,29385,Spartanburg County,,,Red
SC,29388,Spartanburg County,,,Red
SC,29650,Spartanburg County,,,Red
SC,29651,Spartanburg County,Green,,
SC,29001,Sumter County,,,Red
SC,29040,Sumter County,,,Red
SC,29051,Sumter County,Green,,
SC,29080,Sumter County,,,Red
SC,29102,Sumter County,,,Red
SC,29104,Sumter County,,,Red
SC,29114,Sumter County,,,Red
SC,29125,Sumter County,,,Red
SC,29128,Sumter County,,,Red
SC,29150,Sumter County,,Yellow,
SC,29152,Sumter County,,,Red
SC,29153,Sumter County,Green,,
SC,29154,Sumter County,Green,,
SC,29162,Sumter County,,,Red
SC,29168,Sumter County,,,Red
SC,29031,Union County,,,Red
SC,29178,Union County,,,Red
SC,29321,Union County,,,Red
SC,29335,Union County,,,Red
SC,29353,Union County,,,Red
SC,29364,Union County,,,Red
SC,29372,Union County,,,Red
SC,29374,Union County,,,Red
SC,29379,Union County,,,Red
SC,29056,Williamsburg County,,,Red
SC,29111,Williamsburg County,,,Red
SC,29440,Williamsburg County,,,Red
SC,29510,Williamsburg County,,,Red
SC,29518,Williamsburg County,,,Red
SC,29554,Williamsburg County,,,Red
SC,29555,Williamsburg County,,,Red
SC,29556,Williamsburg County,,,Red
SC,29560,Williamsburg County,,,Red
SC,29564,Williamsburg County,,,Red
SC,29580,Williamsburg County,,,Red
SC,29590,Williamsburg County,,,Red
SC,29702,York County,,,Red
SC,29704,York County,,,Red
SC,29706,York County,,,Red
SC,29708,York County,,Yellow,
SC,29710,York County,,Yellow,
SC,29712,York County,,,Red
SC,29715,York County,,Yellow,
SC,29717,York County,,,Red
SC,29726,York County,,,Red
SC,29730,York County,Green,,
SC,29732,York County,,Yellow,
SC,29742,York County,,,Red
SC,29743,York County,,,Red
SC,29745,York County,,Yellow,
