id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2840,456067722,TX,Cherokee County,"County Road 3307, Jacksonville, TX, 75766",Jacksonville,75766,89900.0,5.0,17980.0,200,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2855,351711856,TX,Panola County,"County Road 110, Carthage, TX, 75633",Carthage,75633,90000.0,28.31,3179.09,639,5,reject,-46.06,-41450.25,"Projected profit is estimated, ROI below threshold, Long DOM"
2899,449982430,TX,Hill County,"213875 Ranchside Ct, Itasca, TX, 76055",Itasca,76055,97000.0,5.0,19400.0,338,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2982,456082588,TX,Hamilton County,"LOT 25 County Road 127, Carlton, TX, 76436",Carlton,76436,99000.0,10.01,9890.11,199,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2858,447684232,TX,Falls County,"199 County Road 152, Riesel, TX, 76682",Riesel,76682,100000.0,12.23,8176.61,353,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2873,460752210,TX,Liberty County,"0 County Road 3704 #B, Cleveland, TX, 77327",Cleveland,77327,100000.0,6.149,16262.81,3,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Possible flood/wetland mention"
2856,349486460,TX,Bexar County,"1715 S Loop 1604 E LOT 199, San Antonio, TX, 78264",San Antonio,78264,125000.0,5.846,21382.14,669,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2934,402292458,TX,Navarro County,"Barker Ln, Rice, TX, 75155",Rice,75155,125000.0,10.88,11488.97,590,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2999,442182573,TX,Leon County,"0 County Road 237, Oakwood, TX, 75855",Oakwood,75855,125000.0,10.13,12339.59,263,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2871,231905554,TX,Robertson County,"12500 Old Hearne Rd, Bryan, TX, 77807",Bryan,77807,135000.0,5.777,23368.53,220,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
